row_index,FO Name,Principal Name,Completeness,Confidence Score,suggested_search_url,note
20,Iron Creek Partners,Undisclosed,15/19,MEDIUM,https://www.google.com/search?q=Iron+Creek+Partners+family+office+principal+OR+%22managing+director%22,Manual research only; do not automate LinkedIn login or scraping.
22,SouthWorth Capital Management LLC,Undisclosed,15/19,MEDIUM,https://www.google.com/search?q=SouthWorth+Capital+Management+LLC+family+office+principal+OR+%22managing+director%22,Manual research only; do not automate LinkedIn login or scraping.
23,NorthCurrent Partners,Undisclosed,15/19,MEDIUM,https://www.google.com/search?q=NorthCurrent+Partners+family+office+principal+OR+%22managing+director%22,Manual research only; do not automate LinkedIn login or scraping.
24,Cottonwood Acquisitions,Undisclosed,15/19,MEDIUM,https://www.google.com/search?q=Cottonwood+Acquisitions+family+office+principal+OR+%22managing+director%22,Manual research only; do not automate LinkedIn login or scraping.
25,Aeonic Partners,Undisclosed,15/19,LOW,https://www.google.com/search?q=Aeonic+Partners+family+office+principal+OR+%22managing+director%22,Manual research only; do not automate LinkedIn login or scraping.
26,Caldrion,Undisclosed,14/19,LOW,https://www.google.com/search?q=Caldrion+family+office+principal+OR+%22managing+director%22,Manual research only; do not automate LinkedIn login or scraping.
27,Kidd & Company LLC,Kidd family,15/19,LOW,https://www.google.com/search?q=Kidd+%26+Company+LLC+family+office+principal+OR+%22managing+director%22,Manual research only; do not automate LinkedIn login or scraping.
29,Investar,Undisclosed,16/19,MEDIUM,https://www.google.com/search?q=Investar+family+office+principal+OR+%22managing+director%22,Manual research only; do not automate LinkedIn login or scraping.
30,Preservation Holdings,Undisclosed,15/19,LOW,https://www.google.com/search?q=Preservation+Holdings+family+office+principal+OR+%22managing+director%22,Manual research only; do not automate LinkedIn login or scraping.
31,BCG Family Office (Todd Brock),Todd Brock,16/19,LOW,https://www.google.com/search?q=BCG+Family+Office+%28Todd+Brock%29+family+office+principal+OR+%22managing+director%22,Manual research only; do not automate LinkedIn login or scraping.
32,Zeal Partners,Undisclosed,15/19,LOW,https://www.google.com/search?q=Zeal+Partners+family+office+principal+OR+%22managing+director%22,Manual research only; do not automate LinkedIn login or scraping.
34,C&S Family Capital,Undisclosed,15/19,LOW,https://www.google.com/search?q=C%26S+Family+Capital+family+office+principal+OR+%22managing+director%22,Manual research only; do not automate LinkedIn login or scraping.
35,EPIQ Capital Group,Undisclosed,14/19,LOW,https://www.google.com/search?q=EPIQ+Capital+Group+family+office+principal+OR+%22managing+director%22,Manual research only; do not automate LinkedIn login or scraping.
36,KNEZ Capital,Undisclosed,15/19,MEDIUM,https://www.google.com/search?q=KNEZ+Capital+family+office+principal+OR+%22managing+director%22,Manual research only; do not automate LinkedIn login or scraping.
37,Atlantic Wealth Partners LLC,Undisclosed,15/19,LOW,https://www.google.com/search?q=Atlantic+Wealth+Partners+LLC+family+office+principal+OR+%22managing+director%22,Manual research only; do not automate LinkedIn login or scraping.
38,Roystone Capital,Undisclosed,15/19,LOW,https://www.google.com/search?q=Roystone+Capital+family+office+principal+OR+%22managing+director%22,Manual research only; do not automate LinkedIn login or scraping.
40,Big7Ventures,Undisclosed,15/19,LOW,https://www.google.com/search?q=Big7Ventures+family+office+principal+OR+%22managing+director%22,Manual research only; do not automate LinkedIn login or scraping.
41,119th Street Capital,Undisclosed,14/19,LOW,https://www.google.com/search?q=119th+Street+Capital+family+office+principal+OR+%22managing+director%22,Manual research only; do not automate LinkedIn login or scraping.
42,VIP MSG,Undisclosed,14/19,LOW,https://www.google.com/search?q=VIP+MSG+family+office+principal+OR+%22managing+director%22,Manual research only; do not automate LinkedIn login or scraping.
44,ABI Investments,Undisclosed,14/19,LOW,https://www.google.com/search?q=ABI+Investments+family+office+principal+OR+%22managing+director%22,Manual research only; do not automate LinkedIn login or scraping.
46,West Edge Partners,Undisclosed,14/19,LOW,https://www.google.com/search?q=West+Edge+Partners+family+office+principal+OR+%22managing+director%22,Manual research only; do not automate LinkedIn login or scraping.
47,LionHill Partners,Undisclosed,15/19,LOW,https://www.google.com/search?q=LionHill+Partners+family+office+principal+OR+%22managing+director%22,Manual research only; do not automate LinkedIn login or scraping.
49,Lullwater & Co.,Undisclosed,15/19,LOW,https://www.google.com/search?q=Lullwater+%26+Co.+family+office+principal+OR+%22managing+director%22,Manual research only; do not automate LinkedIn login or scraping.
50,BDX Capital (Single Family Office),Undisclosed,14/19,LOW,https://www.google.com/search?q=BDX+Capital+%28Single+Family+Office%29+family+office+principal+OR+%22managing+director%22,Manual research only; do not automate LinkedIn login or scraping.
51,Carica Family Investments,Undisclosed,15/19,LOW,https://www.google.com/search?q=Carica+Family+Investments+family+office+principal+OR+%22managing+director%22,Manual research only; do not automate LinkedIn login or scraping.
52,Shah Capital Ventures,Undisclosed,14/19,MEDIUM,https://www.google.com/search?q=Shah+Capital+Ventures+family+office+principal+OR+%22managing+director%22,Manual research only; do not automate LinkedIn login or scraping.
